"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"2016年度","兵庫県 神河町","","70","145","37","16"
"2016年度","兵庫県 太子町","","291","290","137","57"
"2016年度","兵庫県 上郡町","","75","201","59","20"
"2016年度","兵庫県 佐用町","","87","309","63","21"
"2016年度","兵庫県 香美町","","95","324","62","18"
"2016年度","兵庫県 新温泉町","","80","226","46","9"
"2015年度","兵庫県 神戸市 東灘区","","1,897","1,717","1,102","366"
"2015年度","兵庫県 神戸市 灘区","","1,176","1,265","723","236"
"2015年度","兵庫県 神戸市 兵庫区","","861","1,466","739","241"
"2015年度","兵庫県 神戸市 長田区","","630","1,353","503","211"
"2015年度","兵庫県 神戸市 須磨区","","1,142","1,605","694","277"
"2015年度","兵庫県 神戸市 垂水区","","1,855","2,391","949","371"
"2015年度","兵庫県 神戸市 北区","","1,500","2,198","825","372"
"2015年度","兵庫県 神戸市 中央区","","1,047","1,231","1,013","313"
"2015年度","兵庫県 神戸市 西区","","1,801","1,942","994","460"
"2015年度","兵庫県 姫路市","","4,597","5,188","2,717","1,000"
"2015年度","兵庫県 尼崎市","","3,909","4,731","2,765","984"
"2015年度","兵庫県 明石市","","2,634","2,670","1,500","560"
"2015年度","兵庫県 西宮市","","4,395","3,821","2,449","776"
"2015年度","兵庫県 洲本市","","270","691","190","85"
"2015年度","兵庫県 芦屋市","","716","872","407","156"
"2015年度","兵庫県 伊丹市","","1,768","1,663","1,105","439"
"2015年度","兵庫県 相生市","","212","400","133","34"
"2015年度","兵庫県 豊岡市","","599","1,117","348","144"
"2015年度","兵庫県 加古川市","","2,269","2,381","1,345","532"
"2015年度","兵庫県 赤穂市","","324","566","175","67"
"2015年度","兵庫県 西脇市","","305","482","164","67"
"2015年度","兵庫県 宝塚市","","1,745","1,985","901","331"
"2015年度","兵庫県 三木市","","476","769","291","125"
"2015年度","兵庫県 高砂市","","727","910","426","143"
"2015年度","兵庫県 川西市","","1,070","1,462","588","237"
"2015年度","兵庫県 小野市","","397","493","212","88"
"2015年度","兵庫県 三田市","","780","831","402","159"
"2015年度","兵庫県 加西市","","281","554","164","48"
"2015年度","兵庫県 篠山市","","277","587","158","58"
"2015年度","兵庫県 養父市","","146","415","85","22"
"2015年度","兵庫県 丹波市","","450","848","269","98"
"2015年度","兵庫県 南あわじ市","","362","694","191","69"
"2015年度","兵庫県 朝来市","","207","468","138","43"
"2015年度","兵庫県 淡路市","","299","756","156","63"
"2015年度","兵庫県 宍粟市","","239","581","144","55"
"2015年度","兵庫県 加東市","","369","376","223","64"
"2015年度","兵庫県 たつの市","","596","896","302","107"
"2015年度","兵庫県 猪名川町","","141","242","87","42"
"2015年度","兵庫県 多可町","","116","295","61","21"
"2015年度","兵庫県 稲美町","","207","326","123","48"
"2015年度","兵庫県 播磨町","","307","289","139","65"
"2015年度","兵庫県 市川町","","66","193","50","17"
"2015年度","兵庫県 福崎町","","158","203","82","25"
"2015年度","兵庫県 神河町","","70","159","37","14"
"2015年度","兵庫県 太子町","","284","255","158","71"
"2015年度","兵庫県 上郡町","","70","226","44","23"
"2015年度","兵庫県 佐用町","","87","306","61","17"
"2015年度","兵庫県 香美町","","106","274","46","15"
"2015年度","兵庫県 新温泉町","","75","248","44","15"
"2014年度","兵庫県 神戸市 東灘区","","1,823","1,736","1,147","325"
"2014年度","兵庫県 神戸市 灘区","","1,086","1,244","753","234"
"2014年度","兵庫県 神戸市 兵庫区","","816","1,384","723","239"
"2014年度","兵庫県 神戸市 長田区","","628","1,381","493","245"
"2014年度","兵庫県 神戸市 須磨区","","1,248","1,633","758","256"
"2014年度","兵庫県 神戸市 垂水区","","1,854","2,224","1,022","389"
"2014年度","兵庫県 神戸市 北区","","1,568","2,086","897","417"
"2014年度","兵庫県 神戸市 中央区","","1,022","1,208","987","306"
"2014年度","兵庫県 神戸市 西区","","1,893","1,934","988","427"
"2014年度","兵庫県 姫路市","","4,652","5,021","2,829","988"
"2014年度","兵庫県 尼崎市","","3,916","4,599","2,776","929"
"2014年度","兵庫県 明石市","","2,572","2,542","1,560","515"
"2014年度","兵庫県 西宮市","","4,443","3,771","2,490","806"
"2014年度","兵庫県 洲本市","","306","625","188","64"
"2014年度","兵庫県 芦屋市","","744","824","405","150"
"2014年度","兵庫県 伊丹市","","1,768","1,589","1,060","403"
"2014年度","兵庫県 相生市","","224","373","132","50"
"2014年度","兵庫県 豊岡市","","599","1,162","303","107"
"2014年度","兵庫県 加古川市","","2,263","2,359","1,332","460"
"2014年度","兵庫県 赤穂市","","354","520","195","58"
"2014年度","兵庫県 西脇市","","310","525","159","65"
